종목코드,종목명,시장,업종,업종_상세,업종_대분류,종가,거래대금(억원),시가총액(억원),상태,IS_ACTIVE,IS_NOW_ENTRY,IS_WATCH,추천매수가,손절가,추천매도가1,추천매도가2,FINAL_SCORE,TRIGGER_SCORE,TOTAL_SCORE,RANK_SCORE,LDY_SCORE,ENTRY_SCORE,ML_SCORE,NEWS_SCORE,NEWS_REASON,TRIGGER,ROUTE,REGIME,ret_20d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,TTM_SQUEEZE_CNT,NORM_RR,NORM_T1,NORM_SL,NORM_NEAR,NORM_MOM,NORM_LIQ,NORM_TEC,RSI14,MFI14,이격도,BB_BW,TTM_SQUEEZE,BB_SQUEEZE_BW,ret_1d_%,ret_5d_%,ret_10d_%,ret_60d_%,Low_Trend_PCT,RSI_Rising,BB_Expanding,Vol_Quality,Range_Pos,Above_MA20,SUPERTREND_DIR,SUPERTREND_VAL,VWAP,VWAP_GAP,MACD_Slope_PCT,거래강도,V_POWER,IS_SWING_SUPPORT,주봉20선_상회,주봉추세,HMA20,HMA_Trend,HMA_On,OBV_Div,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,EBS,ENG_SCORE,MOM_SCORE,RR1,Now%,AI_COMMENT,켈리_수량,켈리_금액(원),추천수량,추천금액(만원),MKT_BREADTH_ALL_%,MKT_BREADTH_KOSPI_%,MKT_BREADTH_KOSDAQ_%,MKT_TEMP,TOP_SECTORS_5D,REGIME_RANK,LDY_RANK,기준일,시총기준일,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,60일_종목수익률_%,60일_초과수익(α)_%
012450,한화에어로스페이스,KOSPI,"항공기,우주선 및 부품 제조업","항공기,우주선 및 부품 제조업",기타,1300000,3220.09,0.0,WAIT,False,False,True,1300000,1205000,1490000,1639000.0000000002,65.3,46.1,73.5,72.4,72.4,74.5,76.19999694824219,0.0,특이사항 없음,🚀급등시동,WAIT,③ 박스 / 중립,37.42,38.59,16.19,1.96,-27.38,0,1.0,0.73,0.77,1.0,0.0,1.0,0.45,62.9,71.7,5.77,34.55,0,0,0.0,3.59,0.08,28.71,27.07,1,0,1.43,0.77,1,1,1127500.0,1285485,1.13,-0.15,0.92,-1.49,False,O,▲,1298309,▼,O,X,10.18726618705036,0.47719424460431703,10.0,7,86.1,0.1,2.0,0.0,📉 매도세 우위. 💰 외국인/기관 수급 집중. ⚠️ 단기 급등 조정 주의.💰 외국인/기관 수급 집중. ⚠️ 단기 급등 조정 주의.,1,1512500,1.0,151.2,87.2,83.1,90.5,🔥 과열,1.인프라·에너지(+13.4%) / 2.IT/전기전자(+10.6%) / 3.조선·기계·설비(+8.6%) / 4.화학·소재(+8.1%) / 5.철강·금속(+7.9%),3,1,20260130,20260130,26.75,24.05,28.71,1.96
002900,TYM,KOSPI,특수 목적용 기계 제조업,특수 목적용 기계 제조업,조선·기계·설비,7060,69.06,0.0,WAIT,False,False,True,7060,6400,8370,9207.0,73.8,76.0,72.9,65.4,65.4,70.0,90.30000305175781,0.0,특이사항 없음,🚀급등시동,WAIT,④ 바닥 반등 시도,12.06,22.78,-9.17,-8.09,-43.19,0,0.99,0.93,0.39,1.0,0.46,0.05,0.57,62.7,61.9,8.72,22.83,0,0,-3.42,7.13,16.31,18.66,2.92,1,0,1.15,0.78,1,1,6368.5,7006,0.77,0.2955,1.84,1.75,False,O,▲,6827,▲,O,X,11.884875,6.459999999999999,3.0,6,52.2,45.6,1.9848484848484849,0.0,💪 매수세 장악(Power Buying). 💸 자금 유입 지속. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.💸 자금 유입 지속. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.,206,1458511,206.0,145.9,87.2,83.1,90.5,🔥 과열,1.인프라·에너지(+13.4%) / 2.IT/전기전자(+10.6%) / 3.조선·기계·설비(+8.6%) / 4.화학·소재(+8.1%) / 5.철강·금속(+7.9%),4,2,20260130,20260130,26.75,24.05,18.66,-8.09
033780,KT&G,KOSPI,담배 제조업,담배 제조업,기타,153900,1409.64,0.0,WAIT,False,False,True,153900,147500,166700,183370.00000000003,71.8,84.0,66.6,69.7,69.7,66.0,59.400001525878906,0.0,특이사항 없음,🚀급등시동/📦박스돌파,WAIT,④ 바닥 반등 시도,9.62,13.08,-11.61,-13.84,-52.89,4,1.0,0.42,0.97,1.0,0.18,1.0,0.68,67.3,44.8,6.8,7.25,0,1,5.7,6.21,8.15,12.91,1.21,1,1,1.12,1.0,1,1,137440.0,145888,5.49,0.0974,1.97,1.7,False,O,▲,145555,▲,O,X,10.18726618705036,0.47719424460431703,10.0,6,56.3,17.6,2.0,0.0,🔇 변동성 축소 (BW 7.2%). 💪 매수세 장악(Power Buying). 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.🔇 변동성 축소 (BW 7.2%). 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.,6,994999,6.0,99.5,87.2,83.1,90.5,🔥 과열,1.인프라·에너지(+13.4%) / 2.IT/전기전자(+10.6%) / 3.조선·기계·설비(+8.6%) / 4.화학·소재(+8.1%) / 5.철강·금속(+7.9%),4,3,20260130,20260130,26.75,24.05,12.91,-13.84
064350,현대로템,KOSPI,철도장비 제조업,철도장비 제조업,기타,230500,4827.53,0.0,WAIT,False,False,True,230500,207000,277500,305250.0,71.1,70.0,71.6,63.0,63.0,50.0,91.5,0.0,특이사항 없음,,WAIT,④ 바닥 반등 시도,19.18,15.25,-2.05,-26.53,-50.72,0,1.0,1.0,0.26,1.0,0.27,1.0,0.62,58.5,57.5,6.89,16.43,0,0,1.77,11.08,7.21,0.22,3.85,0,0,1.13,0.91,1,1,193470.0,220597,4.49,0.1973,2.26,0.71,False,O,▲,216920,▲,O,X,10.18726618705036,0.47719424460431703,10.0,6,36.4,27.1,2.0,0.0,🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.,5,1370000,5.0,137.0,87.2,83.1,90.5,🔥 과열,1.인프라·에너지(+13.4%) / 2.IT/전기전자(+10.6%) / 3.조선·기계·설비(+8.6%) / 4.화학·소재(+8.1%) / 5.철강·금속(+7.9%),4,4,20260130,20260130,26.75,24.05,0.22,-26.53
103140,풍산,KOSPI,1차 비철금속 제조업,1차 비철금속 제조업,철강·금속,131200,1232.59,0.0,WAIT,False,False,True,131200,118800,155900,171490.0,69.4,70.0,69.2,60.5,60.5,51.1,89.5999984741211,0.0,특이사항 없음,,WAIT,④ 바닥 반등 시도,22.96,-3.17,1.73,-8.55,-69.14,0,0.99,0.94,0.37,1.0,0.15,0.91,0.52,59.8,57.1,7.05,18.75,0,0,1.31,8.61,6.32,18.2,9.88,0,0,0.77,0.73,1,1,117400.0,128448,2.14,0.0932,2.05,-0.41,False,O,▲,125193,▲,O,X,7.1770588235294115,8.462941176470588,5.0,6,45.1,15.5,1.9919354838709677,0.0,📉 매도세 우위. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.,9,1184858,9.0,118.5,87.2,83.1,90.5,🔥 과열,1.인프라·에너지(+13.4%) / 2.IT/전기전자(+10.6%) / 3.조선·기계·설비(+8.6%) / 4.화학·소재(+8.1%) / 5.철강·금속(+7.9%),4,5,20260130,20260130,26.75,24.05,18.2,-8.55
204620,글로벌텍스프리,KOSDAQ,금융 지원 서비스업,금융 지원 서비스업,서비스 기타,4675,151.82,0.0,WAIT,False,False,True,4675,4295,5440,5984.000000000001,69.2,84.0,62.9,60.3,60.3,59.8,68.80000305175781,0.0,특이사항 없음,,WAIT,④ 바닥 반등 시도,1.74,7.35,-19.82,-38.27,-39.25,0,1.0,0.82,0.61,1.0,0.28,0.11,0.61,66.5,67.0,8.24,14.75,0,0,2.63,5.17,16.87,-14.22,0.75,1,1,0.85,0.91,1,1,3941.5,4530,3.2,0.1247,2.15,1.48,False,X,▼,4493,▲,O,X,12.387837837837838,2.937567567567568,8.0,6,60.4,28.3,2.013157894736842,0.0,💸 자금 유입 지속. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.💸 자금 유입 지속. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.,155,726830,155.0,72.7,87.2,83.1,90.5,🔥 과열,1.인프라·에너지(+13.4%) / 2.IT/전기전자(+10.6%) / 3.조선·기계·설비(+8.6%) / 4.화학·소재(+8.1%) / 5.철강·금속(+7.9%),4,6,20260130,20260130,26.75,24.05,-14.22,-38.27
000050,경방,KOSPI,종합 소매업,종합 소매업,유통·소비재,9350,72.26,0.0,WAIT,False,False,True,9350,8570,10910,12001.000000000002,68.6,67.7,69.0,58.5,58.5,58.3,93.5999984741211,0.0,특이사항 없음,,WAIT,⑤ 하락 / 약세,-0.21,26.01,-21.44,12.8,-39.96,0,1.0,0.83,0.57,1.0,0.43,0.05,0.73,70.5,75.0,9.04,13.37,0,0,4.7,9.1,14.02,39.55,0.86,1,0,0.57,0.88,1,-1,9412.0,9025,3.59,0.2893,3.25,1.91,False,O,▲,8767,▲,O,X,7.8983333333333325,-6.411666666666667,13.0,5,49.4,42.9,2.0,0.0,💪 매수세 장악(Power Buying). 💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.,125,1175000,125.0,117.5,87.2,83.1,90.5,🔥 과열,1.인프라·에너지(+13.4%) / 2.IT/전기전자(+10.6%) / 3.조선·기계·설비(+8.6%) / 4.화학·소재(+8.1%) / 5.철강·금속(+7.9%),5,7,20260130,20260130,26.75,24.05,39.55,12.8
093370,후성,KOSPI,기초 화학물질 제조업,기초 화학물질 제조업,화학·소재,8470,117.49,0.0,WAIT,False,False,True,8470,7710,9990,10989.0,68.5,76.0,65.3,57.1,57.1,60.7,84.5,0.0,특이사항 없음,,WAIT,④ 바닥 반등 시도,14.46,81.37,-6.77,-35.58,15.4,1,1.0,0.9,0.45,1.0,0.33,0.09,0.42,71.4,82.2,9.26,19.02,0,0,0.0,9.57,14.0,-8.83,0.7,1,1,1.1,0.79,1,1,7229.0,8341,1.54,0.1946,1.59,0.62,False,O,▲,8223,▲,O,X,12.2796,5.309,4.0,5,60.3,33.0,2.0,0.0,💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.,105,897500,105.0,89.8,87.2,83.1,90.5,🔥 과열,1.인프라·에너지(+13.4%) / 2.IT/전기전자(+10.6%) / 3.조선·기계·설비(+8.6%) / 4.화학·소재(+8.1%) / 5.철강·금속(+7.9%),4,8,20260130,20260130,26.75,24.05,-8.83,-35.58
003620,KG모빌리티,KOSPI,자동차용 엔진 및 자동차 제조업,자동차용 엔진 및 자동차 제조업,자동차·모빌리티,3885,199.05,0.0,ARMED,True,False,False,3885,3450,4750,5225.0,68.2,76.0,64.8,53.9,53.9,63.3,90.30000305175781,0.0,특이사항 없음,📦박스돌파,ARMED,④ 바닥 반등 시도,11.16,16.32,-10.07,-19.13,-49.65,3,0.99,1.0,0.15,1.0,0.42,0.15,0.46,73.4,75.3,8.54,17.78,0,0,-0.89,10.21,11.0,7.62,1.78,1,1,3.52,0.39,1,1,3347.0,4009,-3.11,0.3104,1.43,0.86,False,O,▲,3762,▲,O,X,2.5095,9.574000000000002,7.0,5,37.1,42.4,1.9885057471264367,0.0,💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.,219,852023,219.0,85.2,87.2,83.1,90.5,🔥 과열,1.인프라·에너지(+13.4%) / 2.IT/전기전자(+10.6%) / 3.조선·기계·설비(+8.6%) / 4.화학·소재(+8.1%) / 5.철강·금속(+7.9%),4,9,20260130,20260130,26.75,24.05,7.62,-19.13
023160,태광,KOSDAQ,1차 철강 제조업,1차 철강 제조업,철강·금속,28500,101.98,0.0,WAIT,False,False,True,28500,25200,35100,38610.0,67.9,58.9,71.7,62.7,62.7,78.1,92.80000305175781,0.0,특이사항 없음,🚀급등시동,WAIT,④ 바닥 반등 시도,36.04,21.54,14.48,-18.88,-25.06,0,1.0,1.0,0.11,1.0,0.22,0.07,0.28,64.5,68.0,11.08,36.74,0,0,0.35,12.43,4.2,5.17,19.05,1,0,1.71,0.9,1,1,23860.0,27314,4.34,0.1748,0.88,0.77,False,O,▲,27078,▲,O,X,7.1770588235294115,8.462941176470588,5.0,6,84.1,22.1,2.0,0.0,💸 자금 유입 지속. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.💸 자금 유입 지속. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.,48,1377500,48.0,137.8,87.2,83.1,90.5,🔥 과열,1.인프라·에너지(+13.4%) / 2.IT/전기전자(+10.6%) / 3.조선·기계·설비(+8.6%) / 4.화학·소재(+8.1%) / 5.철강·금속(+7.9%),4,10,20260130,20260130,26.75,24.05,5.17,-18.88
